epoch,step,test_group_l1,test_hsic,test_hsic_reg,test_l0_penalty,test_l0_reg,test_loss_x,test_notears,test_score_sparse,test_x_mae,test_x_r2,test_x_rmse,train_group_l1,train_hsic,train_hsic_reg,train_l0_penalty,train_l0_reg,train_loss_x,train_notears,train_score_sparse,train_x_mae,train_x_r2,train_x_rmse,val_group_l1,val_hsic,val_hsic_reg,val_l0_penalty,val_l0_reg,val_loss,val_loss_x,val_notears,val_score_sparse,val_x_mae,val_x_r2,val_x_rmse
53,809,,,,,,,,,,,,0.0,4.5450287871062756e-05,0.0,0.0,0.0,0.020488135516643524,0.0,0.4935786724090576,0.1132548525929451,-0.007326907943934202,0.1431301236152649,,,,,,,,,,,,
54,824,,,,,,,,,,,,,,,,,,,,,,,0.0,4.474060915526934e-05,0.0,0.0,0.0,0.020153719931840897,0.020153719931840897,0.0,0.8999999761581421,0.11377689242362976,0.0024164982605725527,0.1419600546360016
54,824,,,,,,,,,,,,0.0,4.5187251089373603e-05,0.0,0.0,0.0,0.0203024223446846,0.0,0.4278613030910492,0.11258915066719055,0.0017686588689684868,0.1424773633480072,,,,,,,,,,,,
55,839,,,,,,,,,,,,,,,,,,,,,,,0.0,4.4729906221618876e-05,0.0,0.0,0.0,0.02004101127386093,0.02004101127386093,0.0,0.8999999761581421,0.11168810725212097,0.007990287616848946,0.14156273007392883
55,839,,,,,,,,,,,,0.0,4.55651170341298e-05,0.0,0.0,0.0,0.020388668403029442,0.0,0.40594133734703064,0.11304467171430588,-0.002435232512652874,0.142778217792511,,,,,,,,,,,,
56,854,,,,,,,,,,,,,,,,,,,,,,,0.0,4.4870132114738226e-05,0.0,0.0,0.0,0.020093921571969986,0.020093921571969986,0.0,0.8999999761581421,0.11290735006332397,0.00537474500015378,0.14174936711788177
56,854,,,,,,,,,,,,0.0,4.5685821532970294e-05,0.0,0.0,0.0,0.020313190296292305,0.0,0.47140270471572876,0.11287766695022583,0.001173927797935903,0.14252261817455292,,,,,,,,,,,,
57,869,,,,,,,,,,,,,,,,,,,,,,,0.0,4.519742287811823e-05,0.0,0.0,0.0,0.02043210342526436,0.02043210342526436,0.0,0.8999999761581421,0.11547299474477768,-0.011362599208950996,0.14293710887432098
57,869,,,,,,,,,,,,0.0,4.5725701056653634e-05,0.0,0.0,0.0,0.020518431439995766,0.0,0.43372800946235657,0.11327436566352844,-0.008786638267338276,0.14323076605796814,,,,,,,,,,,,
58,884,,,,,,,,,,,,,,,,,,,,,,,0.0,4.517634442890994e-05,0.0,0.0,0.0,0.02041718363761902,0.02041718363761902,0.0,0.8999999761581421,0.11038678139448166,-0.010642309673130512,0.1428854614496231
