epoch,step,test_dec_cross_entropy,test_dec_self_entropy,test_enc_self_entropy,test_loss,test_mae,test_r2,test_rmse,train_dec_cross_entropy,train_dec_self_entropy,train_enc_self_entropy,train_loss,train_mae,train_r2,train_rmse,val_dec_cross_entropy,val_dec_self_entropy,val_enc_self_entropy,val_loss,val_mae,val_r2,val_rmse
61,3967,,,,,,,,1.841610312461853,0.0,1.7932350635528564,1.0674481391906738,0.8185199499130249,0.8973537683486938,1.0281333923339844,,,,,,,
62,4031,,,,,,,,,,,,,,,1.8390476703643799,0.0,1.7814149856567383,1.0102914571762085,0.7865541577339172,0.8940415978431702,0.9996050000190735
62,4031,,,,,,,,1.8405108451843262,0.0,1.7643769979476929,1.0652366876602173,0.8135519623756409,0.8979953527450562,1.0273845195770264,,,,,,,
63,4095,,,,,,,,,,,,,,,1.8357471227645874,0.0,1.7753797769546509,1.0271892547607422,0.7919019460678101,0.8923386335372925,1.0074485540390015
63,4095,,,,,,,,1.8377124071121216,0.0,1.7831710577011108,1.0424165725708008,0.8086450695991516,0.9003625512123108,1.0145500898361206,,,,,,,
64,4159,,,,,,,,,,,,,,,1.8410956859588623,0.0,1.8020410537719727,1.0659048557281494,0.7996504306793213,0.8897275328636169,1.0261286497116089
64,4159,,,,,,,,1.836513638496399,0.0,1.7790545225143433,1.0546598434448242,0.8111019134521484,0.8980385065078735,1.0202397108078003,,,,,,,
65,4223,,,,,,,,,,,,,,,1.8113692998886108,0.0,1.7957825660705566,1.0213971138000488,0.7865533232688904,0.8936573266983032,1.005259394645691
65,4223,,,,,,,,1.8236807584762573,0.0,1.7994292974472046,1.030541181564331,0.8022129535675049,0.9005099534988403,1.008521556854248,,,,,,,
66,4287,,,,,,,,,,,,,,,1.8155035972595215,0.0,1.8044142723083496,1.0137195587158203,0.7836592793464661,0.8941581845283508,1.001753330230713
66,4287,,,,,,,,1.8200448751449585,0.0,1.799880027770996,1.0258623361587524,0.8008894324302673,0.9008437991142273,1.0073405504226685,,,,,,,
67,4351,,,,,,,,,,,,,,,1.8319529294967651,0.0,1.809916377067566,1.0197250843048096,0.7871745228767395,0.8937941193580627,1.0041111707687378
67,4351,,,,,,,,1.8252978324890137,0.0,1.7876287698745728,1.047098994255066,0.809559166431427,0.8992052674293518,1.018439531326294,,,,,,,
68,4415,,,,,,,,,,,,,,,1.812975287437439,0.0,1.8179495334625244,1.0380492210388184,0.786902904510498,0.8918130397796631,1.0133768320083618
68,4415,,,,,,,,1.823806643486023,0.0,1.8043001890182495,1.0231735706329346,0.7967976927757263,0.901831865310669,1.0057098865509033,,,,,,,
